Season,Phase,Round,Gamecode,NUM_ANOT,TEAM,ID_PLAYER,PLAYER,ID_ACTION,ACTION,POINTS,COORD_X,COORD_Y,ZONE,FASTBREAK,SECOND_CHANCE,POINTS_OFF_TURNOVER,MINUTE,CONSOLE,POINTS_A,POINTS_B,UTC
2024,RS,5,42,136,MAD,PTGB,"LLULL, SERGIO",3FGA,Missed Three Pointer,0,539,608,I,0,0,0,10,00:00,22,10,20241024190356
2024,RS,5,42,143,MAD,P003108,"HEZONJA, MARIO",3FGA,Missed Three Pointer,0,-244,734,H,0,0,0,11,09:34,22,10,20241024190638
2024,RS,5,42,149,MAD,P013378,"RATHAN-MAYES, XAVIER",FTM,Free Throw In,1,-1,-1, ,0,1,0,11,09:20,23,10,20241024190724
2024,RS,5,42,152,RED,P006436,"GIEDRAITIS, ROKAS",3FGM,Three Pointer,3,18,752,I,0,0,0,11,09:06,23,13,20241024190753
2024,RS,5,42,158,RED,P012044,"DOS SANTOS, YAGO",2FGM,Two Pointer,2,-69,169,B,0,0,1,12,08:36,23,15,20241024190853
2024,RS,5,42,161,RED,P012044,"DOS SANTOS, YAGO",FTM,Free Throw In,1,-1,-1, ,0,0,1,12,08:36,23,16,20241024190926
2024,RS,5,42,162,MAD,P013378,"RATHAN-MAYES, XAVIER",3FGA,Missed Three Pointer,0,-589,577,H,0,0,0,12,08:17,23,16,20241024190947
2024,RS,5,42,164,RED,P002553,"MITROVIC, LUKA",2FGM,Two Pointer,2,43,188,C,0,0,0,12,08:01,23,18,20241024191002
2024,RS,5,42,168,MAD,P006540,"MUSA, DZANAN",3FGM,Three Pointer,3,-633,476,H,0,0,0,12,08:01,26,18,20241024191158
2024,RS,5,42,171,RED,PJDR,"TEODOSIC, MILOS",3FGA,Missed Three Pointer,0,-533,539,H,0,0,0,13,07:26,26,18,20241024191215
2024,RS,5,42,184,MAD,P006540,"MUSA, DZANAN",FTM,Free Throw In,1,-1,-1, ,0,0,0,14,06:53,27,18,20241024191541
2024,RS,5,42,187,RED,PJDR,"TEODOSIC, MILOS",2FGA,Missed Two Pointer,0,106,200,C,0,0,0,14,06:35,27,18,20241024191620
2024,RS,5,42,189,MAD,P003583,"IBAKA, SERGE",2FGM,Two Pointer,2,-18,18,A,0,0,0,14,06:24,29,18,20241024191634
2024,RS,5,42,197,MAD,P003583,"IBAKA, SERGE",FTM,Free Throw In,1,-1,-1, ,0,0,0,14,06:24,30,18,20241024191731
2024,RS,5,42,200,RED,PJDR,"TEODOSIC, MILOS",3FGA,Missed Three Pointer,0,-520,633,H,0,0,0,14,06:03,30,18,20241024191804
2024,RS,5,42,203,MAD,PTGB,"LLULL, SERGIO",3FGM,Three Pointer,3,545,545,I,0,0,0,15,05:50,33,18,20241024191817
2024,RS,5,42,210,RED,P009048,"MILLER-MCINTYRE, CODI",3FGA,Missed Three Pointer,0,-175,796,H,0,0,0,15,05:34,33,18,20241024192012
2024,RS,5,42,214,MAD,PTGB,"LLULL, SERGIO",3FGA,Missed Three Pointer,0,-307,734,H,0,0,0,15,05:16,33,18,20241024192029
2024,RS,5,42,217,RED,P010612,"CANAAN, ISAIAH",3FGA,Missed Three Pointer,0,-476,633,H,0,0,0,16,04:59,33,18,20241024192047
2024,RS,5,42,219,MAD,PTGB,"LLULL, SERGIO",3FGA,Missed Three Pointer,0,-508,721,H,0,0,0,16,04:44,33,18,20241024192102
2024,RS,5,42,221,RED,P012786,"DAUM, MIKE",2FGM,Two Pointer,2,150,112,C,0,0,0,16,04:34,33,20,20241024192117
2024,RS,5,42,230,RED,P012786,"DAUM, MIKE",3FGA,Missed Three Pointer,0,-508,664,H,0,0,0,16,04:16,33,20,20241024192242
2024,RS,5,42,232,MAD,P009005,"DECK, GABRIEL",3FGM,Three Pointer,3,627,508,I,0,0,0,16,04:00,36,20,20241024192258
2024,RS,5,42,237,MAD,P009213,"NDIAYE, ELI",2FGM,Two Pointer,2,12,18,A,0,0,1,17,03:42,38,20,20241024192316
2024,RS,5,42,239,RED,P012786,"DAUM, MIKE",2FGM,Two Pointer,2,-326,87,D,0,0,0,17,03:25,38,22,20241024192333
2024,RS,5,42,244,MAD,P006540,"MUSA, DZANAN",FTM,Free Throw In,1,-1,-1, ,0,0,0,17,03:08,39,22,20241024192423
2024,RS,5,42,245,MAD,P006540,"MUSA, DZANAN",FTM,Free Throw In,1,-1,-1, ,0,0,0,17,03:08,40,22,20241024192439
2024,RS,5,42,246,RED,P006240,"PLAVSIC, UROS",2FGA,Missed Two Pointer,0,112,138,C,0,0,0,17,03:07,40,22,20241024192455
2024,RS,5,42,249,MAD,P013378,"RATHAN-MAYES, XAVIER",3FGA,Missed Three Pointer,0,577,508,I,0,0,0,18,02:45,40,22,20241024192503
2024,RS,5,42,256,RED,P010612,"CANAAN, ISAIAH",2FGM,Two Pointer,2,407,213,G,0,0,1,18,02:31,40,24,20241024192553
